"YEAR","METRIC","STATE","Total_Fines","Percentage"
2020,"Mobile Phone Use","WA",7889,1.1169806832710585
2023,"Unlicensed Driving","NSW",7859,0.704445022095139
2020,"Non Wearing Seatbelts","VIC",7757,0.802852470554141
2022,"Non Wearing Seatbelts","VIC",7492,0.5331811314228863
2024,"Unlicensed Driving","VIC",7090,0.7976697692157972
2023,"Unlicensed Driving","SA",7059,3.2186727705481637
2024,"Unlicensed Driving","SA",6618,3.3369301049786713
2022,"Mobile Phone Use","WA",6346,0.7447718681380585
2021,"Non Wearing Seatbelts","VIC",6342,0.5059126849907783
2020,"Mobile Phone Use","SA",6325,3.4097586483878444
2020,"Non Wearing Seatbelts","QLD",6108,0.662624526871117
2023,"Mobile Phone Use","SA",5769,2.6304750266740835
2021,"Mobile Phone Use","WA",4909,0.6013654143222725
2020,"Mobile Phone Use","QLD",4823,0.5232216917320559
2021,"Mobile Phone Use","SA",4799,2.2833244518879416
2024,"Mobile Phone Use","SA",4605,2.3219345925395563
2022,"Mobile Phone Use","SA",4583,2.364504062943377
2024,"Non Wearing Seatbelts","TAS",4105,4.995983740233187
2020,"Non Wearing Seatbelts","SA",3935,2.1213281077322006
2024,"Mobile Phone Use","WA",3731,0.7765248483788926
2023,"Mobile Phone Use","WA",3592,0.4407832492548285
2022,"Non Wearing Seatbelts","SA",3046,1.571520701663872
2023,"Non Wearing Seatbelts","SA",2884,1.3150095297153852
2024,"Mobile Phone Use","TAS",2815,3.4259912859333546
2020,"Non Wearing Seatbelts","WA",2804,0.3970102466588982
2021,"Non Wearing Seatbelts","SA",2684,1.27702496954933
2024,"Non Wearing Seatbelts","SA",2522,1.2716436574125431
2023,"Mobile Phone Use","TAS",2428,3.479905979476008
2021,"Mobile Phone Use","TAS",2328,5.453906524540236
2022,"Non Wearing Seatbelts","WA",2186,0.2565507884887797
2020,"Non Wearing Seatbelts","NT",2111,4.8627107712153315
2023,"Non Wearing Seatbelts","TAS",2070,2.966806168663647
2023,"Unlicensed Driving","WA",2060,0.25278772089781365
2022,"Mobile Phone Use","TAS",1973,4.326754385964912
2024,"Unlicensed Driving","WA",1969,0.4098036522267594
2020,"Mobile Phone Use","TAS",1966,4.463211423641853
2024,"Non Wearing Seatbelts","WA",1941,0.40397607362729304
2021,"Non Wearing Seatbelts","WA",1856,0.2273648826608551
2023,"Non Wearing Seatbelts","WA",1774,0.21769194993821428
2020,"Non Wearing Seatbelts","TAS",1332,3.0239051964857318
2022,"Non Wearing Seatbelts","NT",1166,3.3209911706066646
2021,"Non Wearing Seatbelts","TAS",1129,2.6449572449338175
2021,"Non Wearing Seatbelts","NT",1123,2.8018962075848304
2024,"Non Wearing Seatbelts","NT",984,1.9793217202397715
2022,"Non Wearing Seatbelts","TAS",890,1.9517543859649125
2020,"Mobile Phone Use","ACT",812,1.3864462922806358
2023,"Non Wearing Seatbelts","NT",789,1.766444275287691
2021,"Mobile Phone Use","ACT",544,0.4754787564132819
2024,"Unlicensed Driving","NT",431,0.8669590055115259
2020,"Mobile Phone Use","NT",380,0.8753340090297613
2022,"Mobile Phone Use","ACT",374,90.12048192771084
2023,"Unlicensed Driving","NT",366,0.819415215152465
2021,"Mobile Phone Use","NT",309,0.7709580838323353
2022,"Mobile Phone Use","NT",302,0.8601538023355169
2024,"Unlicensed Driving","ACT",299,0.3103945852235568
2023,"Mobile Phone Use","ACT",288,0.3967816598699438
2023,"Unlicensed Driving","ACT",260,0.3582056651603659
2024,"Unlicensed Driving","TAS",253,0.3079132487890368
2024,"Mobile Phone Use","NT",244,0.4908074184334392
2023,"Unlicensed Driving","TAS",234,0.3353780886315427
2023,"Mobile Phone Use","NT",205,0.45896207406080686
2020,"Non Wearing Seatbelts","ACT",143,0.24416480270459473
2023,"Non Wearing Seatbelts","ACT",75,0.10332855725779787
2021,"Non Wearing Seatbelts","ACT",60,0.05244250989852375
2024,"Non Wearing Seatbelts","ACT",59,0.06124842986016672
2022,"Non Wearing Seatbelts","ACT",41,9.879518072289157
