"YEAR","STATE","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2024,"SA","26-39","Non Wearing Seatbelts","Manual Detection",13,0,0
2024,"SA","26-39","Speed Fines","Auto detection camera",95,0,0
2024,"SA","26-39","Speed Fines","Auto detection camera",408,0,0
2024,"SA","26-39","Speed Fines","Manual Detection",374,0,6
2024,"SA","40-64","Mobile Phone Use","Manual Detection",2,0,0
2024,"SA","40-64","Non Wearing Seatbelts","Manual Detection",21,0,0
2024,"SA","40-64","Speed Fines","Auto detection camera",123,0,0
2024,"SA","40-64","Speed Fines","Auto detection camera",744,0,0
2024,"SA","40-64","Speed Fines","Manual Detection",443,0,0
2024,"SA","65 and over","Non Wearing Seatbelts","Manual Detection",7,0,0
2024,"SA","65 and over","Speed Fines","Auto detection camera",46,0,0
2024,"SA","65 and over","Speed Fines","Auto detection camera",310,0,0
2024,"SA","65 and over","Speed Fines","Manual Detection",139,0,0
2024,"SA","65 and over","Unlicensed Driving","Manual Detection",4,0,0
2024,"SA","Unknown","Speed Fines","Auto detection camera",15,0,0
2024,"SA","Unknown","Speed Fines","Auto detection camera",24,0,0
2024,"SA","Unknown","Speed Fines","Manual Detection",1,0,0
2024,"SA","Unknown","Unlicensed Driving","Manual Detection",64,0,0
2024,"SA","0-16","Non Wearing Seatbelts","Manual Detection",2,0,0
2024,"SA","0-16","Speed Fines","Auto detection camera",1,0,0
2024,"SA","0-16","Speed Fines","Auto detection camera",1,0,0
2024,"SA","17-25","Mobile Phone Use","Manual Detection",32,0,0
2024,"SA","17-25","Non Wearing Seatbelts","Manual Detection",30,0,0
2024,"SA","17-25","Speed Fines","Auto detection camera",399,0,0
2024,"SA","17-25","Speed Fines","Auto detection camera",549,0,0
2024,"SA","17-25","Speed Fines","Manual Detection",228,3,6
2024,"SA","26-39","Mobile Phone Use","Manual Detection",55,0,0
2024,"SA","26-39","Non Wearing Seatbelts","Manual Detection",32,0,0
2024,"SA","26-39","Speed Fines","Auto detection camera",998,0,0
2024,"SA","26-39","Speed Fines","Auto detection camera",1369,0,0
2024,"SA","26-39","Speed Fines","Manual Detection",333,2,3
2024,"SA","40-64","Mobile Phone Use","Manual Detection",42,0,0
2024,"SA","40-64","Non Wearing Seatbelts","Manual Detection",42,0,0
2024,"SA","40-64","Speed Fines","Auto detection camera",2158,0,0
2024,"SA","40-64","Speed Fines","Auto detection camera",2301,0,0
2024,"SA","40-64","Speed Fines","Manual Detection",392,1,2
2024,"SA","65 and over","Mobile Phone Use","Manual Detection",6,0,0
2024,"SA","65 and over","Non Wearing Seatbelts","Manual Detection",24,0,0
2024,"SA","65 and over","Speed Fines","Auto detection camera",918,0,0
2024,"SA","65 and over","Speed Fines","Auto detection camera",721,0,0
2024,"SA","65 and over","Speed Fines","Manual Detection",95,0,0
2024,"SA","65 and over","Unlicensed Driving","Manual Detection",12,0,0
2024,"SA","Unknown","Speed Fines","Auto detection camera",126,0,0
2024,"SA","Unknown","Speed Fines","Auto detection camera",115,0,0
2024,"SA","Unknown","Speed Fines","Manual Detection",1,0,0
2024,"SA","Unknown","Unlicensed Driving","Manual Detection",352,0,0
2024,"SA","0-16","Non Wearing Seatbelts","Manual Detection",1,0,0
2024,"SA","0-16","Speed Fines","Auto detection camera",1,0,0
2024,"SA","17-25","Mobile Phone Use","Manual Detection",1,0,0
2024,"SA","17-25","Non Wearing Seatbelts","Manual Detection",12,0,0
2024,"SA","17-25","Speed Fines","Auto detection camera",30,0,0
2024,"SA","17-25","Speed Fines","Auto detection camera",48,0,0
2024,"SA","17-25","Speed Fines","Manual Detection",184,1,1
2024,"SA","26-39","Non Wearing Seatbelts","Manual Detection",13,0,0
2024,"SA","26-39","Speed Fines","Auto detection camera",57,0,0
2024,"SA","26-39","Speed Fines","Auto detection camera",161,0,0
2024,"SA","26-39","Speed Fines","Manual Detection",369,0,1
2024,"SA","40-64","Mobile Phone Use","Manual Detection",1,0,0
2024,"SA","40-64","Non Wearing Seatbelts","Manual Detection",15,0,0
2024,"SA","40-64","Speed Fines","Auto detection camera",74,0,0
2024,"SA","40-64","Speed Fines","Auto detection camera",282,0,0
2024,"SA","40-64","Speed Fines","Manual Detection",458,1,2
2024,"SA","65 and over","Non Wearing Seatbelts","Manual Detection",7,0,0
2024,"SA","65 and over","Speed Fines","Auto detection camera",15,0,0
2024,"SA","65 and over","Speed Fines","Auto detection camera",128,0,0
2024,"SA","65 and over","Speed Fines","Manual Detection",110,0,1
2024,"SA","65 and over","Unlicensed Driving","Manual Detection",4,0,0
2024,"SA","Unknown","Speed Fines","Auto detection camera",8,0,0
2024,"SA","Unknown","Speed Fines","Auto detection camera",8,0,0
2024,"SA","Unknown","Unlicensed Driving","Manual Detection",68,0,0
2024,"SA","17-25","Non Wearing Seatbelts","Manual Detection",2,0,0
2024,"SA","17-25","Speed Fines","Auto detection camera",7,0,0
2024,"SA","17-25","Speed Fines","Manual Detection",40,0,1
2024,"SA","26-39","Mobile Phone Use","Manual Detection",1,0,0
2024,"SA","26-39","Non Wearing Seatbelts","Manual Detection",4,0,0
2024,"SA","26-39","Speed Fines","Auto detection camera",12,0,0
2024,"SA","26-39","Speed Fines","Manual Detection",70,0,0
2024,"SA","40-64","Non Wearing Seatbelts","Manual Detection",4,0,0
2024,"SA","40-64","Speed Fines","Auto detection camera",31,0,0
2024,"SA","40-64","Speed Fines","Manual Detection",74,0,1
2024,"SA","65 and over","Non Wearing Seatbelts","Manual Detection",5,0,0
2024,"SA","65 and over","Speed Fines","Auto detection camera",5,0,0
2024,"SA","65 and over","Speed Fines","Manual Detection",13,0,0
2024,"SA","65 and over","Unlicensed Driving","Manual Detection",0,0,0
2024,"SA","Unknown","Speed Fines","Auto detection camera",3,0,0
2024,"SA","Unknown","Unlicensed Driving","Manual Detection",16,0,0
2024,"SA","0-16","Unlicensed Driving","Manual Detection",0,6,8
2024,"SA","17-25","Mobile Phone Use","Manual Detection",1,0,0
2024,"SA","17-25","Speed Fines","Manual Detection",16,0,0
2024,"SA","17-25","Unlicensed Driving","Manual Detection",0,26,50
2024,"SA","26-39","Speed Fines","Manual Detection",29,0,0
2024,"SA","26-39","Unlicensed Driving","Manual Detection",0,68,155
2024,"SA","40-64","Non Wearing Seatbelts","Manual Detection",1,0,0
2024,"SA","40-64","Speed Fines","Manual Detection",45,1,0
2024,"SA","40-64","Unlicensed Driving","Manual Detection",0,28,154
2024,"SA","65 and over","Non Wearing Seatbelts","Manual Detection",1,0,0
2024,"SA","65 and over","Speed Fines","Manual Detection",10,0,0
2024,"SA","65 and over","Unlicensed Driving","Manual Detection",0,1,7
2024,"SA","Unknown","Unlicensed Driving","Manual Detection",11,0,0
2024,"SA","17-25","Non Wearing Seatbelts","Manual Detection",1,0,0
2024,"SA","17-25","Speed Fines","Manual Detection",19,0,0
2024,"SA","26-39","Non Wearing Seatbelts","Manual Detection",7,0,0
2024,"SA","26-39","Speed Fines","Manual Detection",37,0,0
2024,"SA","40-64","Non Wearing Seatbelts","Manual Detection",5,0,0
2024,"SA","40-64","Speed Fines","Manual Detection",50,0,0
2024,"SA","65 and over","Non Wearing Seatbelts","Manual Detection",1,0,0
2024,"SA","65 and over","Speed Fines","Manual Detection",8,0,0
2024,"SA","Unknown","Unlicensed Driving","Manual Detection",11,0,0
2024,"TAS","0-16","Non Wearing Seatbelts","Auto detection camera",1,0,0
2024,"TAS","0-16","Unlicensed Driving","Manual Detection",0,1,4
2024,"TAS","17-25","Mobile Phone Use","Auto detection camera",10,0,0
2024,"TAS","17-25","Mobile Phone Use","Manual Detection",37,0,0
2024,"TAS","17-25","Non Wearing Seatbelts","Auto detection camera",50,0,0
2024,"TAS","17-25","Non Wearing Seatbelts","Manual Detection",18,0,2
2024,"TAS","17-25","Speed Fines","Auto detection camera",657,0,0
2024,"TAS","17-25","Speed Fines","Manual Detection",348,0,12
2024,"TAS","17-25","Unlicensed Driving","Manual Detection",6,0,28
2024,"TAS","26-39","Mobile Phone Use","Auto detection camera",77,0,0
2024,"TAS","26-39","Mobile Phone Use","Manual Detection",44,0,2
2024,"TAS","26-39","Non Wearing Seatbelts","Auto detection camera",146,0,0
2024,"TAS","26-39","Non Wearing Seatbelts","Manual Detection",30,0,3
2024,"TAS","26-39","Speed Fines","Auto detection camera",1655,0,0
2024,"TAS","26-39","Speed Fines","Manual Detection",543,0,12
2024,"TAS","26-39","Unlicensed Driving","Manual Detection",16,0,73
2024,"TAS","40-64","Mobile Phone Use","Auto detection camera",50,0,0
2024,"TAS","40-64","Mobile Phone Use","Manual Detection",36,0,1
2024,"TAS","40-64","Non Wearing Seatbelts","Auto detection camera",143,0,0
2024,"TAS","40-64","Non Wearing Seatbelts","Manual Detection",27,0,0
2024,"TAS","40-64","Speed Fines","Auto detection camera",2471,0,0
2024,"TAS","40-64","Speed Fines","Manual Detection",649,0,10
2024,"TAS","40-64","Unlicensed Driving","Manual Detection",7,0,32
2024,"TAS","65 and over","Mobile Phone Use","Auto detection camera",9,0,0
2024,"TAS","65 and over","Mobile Phone Use","Manual Detection",10,0,0
2024,"TAS","65 and over","Non Wearing Seatbelts","Auto detection camera",71,0,0
2024,"TAS","65 and over","Non Wearing Seatbelts","Manual Detection",16,0,1
2024,"TAS","65 and over","Speed Fines","Auto detection camera",933,0,0
2024,"TAS","65 and over","Speed Fines","Manual Detection",179,0,0
2024,"TAS","65 and over","Unlicensed Driving","Manual Detection",2,0,2
2024,"TAS","Unknown","Unlicensed Driving","Manual Detection",0,0,1
2024,"VIC","0-16","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","0-16","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","0-16","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","0-16","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","0-16","Speed Fines","Auto detection camera",0,0,0
2024,"VIC","0-16","Speed Fines","Auto detection camera",0,0,0
2024,"VIC","17-25","Mobile Phone Use","Auto detection camera",0,0,0
2024,"VIC","17-25","Mobile Phone Use","Auto detection camera",101,0,0
2024,"VIC","17-25","Non Wearing Seatbelts","Auto detection camera",0,0,0
2024,"VIC","17-25","Non Wearing Seatbelts","Auto detection camera",64,0,0
2024,"VIC","17-25","Speed Fines","Auto detection camera",138,0,0
2024,"VIC","17-25","Speed Fines","Auto detection camera",574,0,0
